net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
412.411	1.27	161	2018-08-17T14:15:51.453348355Z	76.54	46.414	38.05	1.07	7.93	cassandra-001	38.05
203.817	1.07	162	2018-08-17T14:15:58.462782112Z	76.54	23.655	38.05	1.1	7.26	cassandra-001	38.05
411.579	1.1	163	2018-08-17T14:16:05.473398325Z	76.54	41.872	38.05	18.81	7.25	cassandra-001	38.05
209.468	18.81	164	2018-08-17T14:16:12.483320244Z	76.54	24.13	38.05	1.05	10.18	cassandra-001	38.05
210.792	1.05	165	2018-08-17T14:16:19.492127356Z	76.54	23.1	38.05	1.09	4.09	cassandra-001	38.05
419.839	1.09	166	2018-08-17T14:16:26.498371494Z	76.54	46.001	38.05	1.1	4.06	cassandra-001	38.05
211.736	1.1	166	2018-08-17T14:16:33.505672274Z	76.55	24.67	38.05	1.08	4.04	cassandra-001	38.05
414.229	1.08	167	2018-08-17T14:16:40.513801694Z	76.55	43.756	38.05	17.44	4.04	cassandra-001	38.05
210.176	17.44	168	2018-08-17T14:16:47.520833727Z	76.55	21.99	38.05	1.05	6.76	cassandra-001	38.05
214.3	1.05	169	2018-08-17T14:16:54.526999751Z	76.55	23.837	38.05	2.08	3.8	cassandra-001	38.05
429.984	2.08	170	2018-08-17T14:17:01.535665222Z	76.55	45.404	38.05	1.36	3.97	cassandra-001	38.05
217.052	1.36	171	2018-08-17T14:17:08.544535313Z	76.55	24.246	38.05	1.02	4.02	cassandra-001	38.05
432.755	1.02	172	2018-08-17T14:17:15.551826998Z	76.55	46.762	38.05	17.89	4.0	cassandra-001	38.05
216.689	17.89	172	2018-08-17T14:17:22.558433752Z	76.55	23.374	38.05	1.2	6.81	cassandra-001	38.05
219.966	1.2	173	2018-08-17T14:17:29.568066158Z	76.55	24.931	38.05	1.06	4.1	cassandra-001	38.05
443.896	1.06	174	2018-08-17T14:17:36.57960738Z	76.55	51.248	38.05	1.12	4.1	cassandra-001	38.05
222.965	1.12	175	2018-08-17T14:17:43.589179322Z	76.56	25.472	38.05	1.11	3.94	cassandra-001	38.05
438.138	1.11	176	2018-08-17T14:17:50.595048382Z	76.56	44.99	38.05	18.01	3.9	cassandra-001	38.05
222.548	18.01	177	2018-08-17T14:17:57.603123184Z	76.56	21.603	38.05	1.22	6.73	cassandra-001	38.05
223.301	1.22	178	2018-08-17T14:18:04.609386249Z	76.56	22.382	38.05	1.16	3.95	cassandra-001	38.05
446.216	1.16	178	2018-08-17T14:18:11.615861687Z	76.56	43.008	38.05	1.23	3.95	cassandra-001	38.05
221.389	1.23	179	2018-08-17T14:18:18.623184634Z	76.56	21.088	38.05	0.94	3.97	cassandra-001	38.05
450.877	0.94	180	2018-08-17T14:18:25.630815683Z	76.57	45.567	38.05	19.86	3.94	cassandra-001	38.05
226.808	19.86	181	2018-08-17T14:18:32.63764599Z	76.57	25.034	38.05	1.26	7.07	cassandra-001	38.05
233.065	1.26	182	2018-08-17T14:18:39.646133305Z	76.57	27.238	38.05	1.18	4.28	cassandra-001	38.05
458.188	1.18	182	2018-08-17T14:18:46.654327079Z	76.57	48.1	38.05	1.13	4.27	cassandra-001	38.05
235.99	1.13	183	2018-08-17T14:18:53.662082502Z	76.57	29.772	38.05	1.14	4.27	cassandra-001	38.05
474.612	1.14	184	2018-08-17T14:19:00.671005406Z	76.57	58.447	38.05	16.93	4.25	cassandra-001	38.05
233.944	16.93	185	2018-08-17T14:19:07.679119458Z	76.57	23.95	38.05	1.08	6.92	cassandra-001	38.05
232.994	1.08	186	2018-08-17T14:19:14.688209885Z	76.58	25.23	38.05	1.09	3.79	cassandra-001	38.05
468.746	1.09	186	2018-08-17T14:19:21.699578456Z	76.58	49.76	38.05	1.27	3.76	cassandra-001	38.05
236.414	1.27	187	2018-08-17T14:19:28.708481039Z	76.57	24.767	38.05	1.07	3.77	cassandra-001	38.05
474.195	1.07	188	2018-08-17T14:19:35.71533274Z	76.58	45.112	38.05	17.45	3.76	cassandra-001	38.05
233.601	17.45	189	2018-08-17T14:19:42.722714858Z	76.58	19.83	38.05	1.21	6.48	cassandra-001	38.05
236.643	1.21	190	2018-08-17T14:19:49.730123871Z	76.58	19.46	38.05	1.07	3.86	cassandra-001	38.05
474.269	1.07	190	2018-08-17T14:19:56.736152524Z	76.58	39.381	38.05	1.14	3.86	cassandra-001	38.05
239.013	1.14	191	2018-08-17T14:20:03.743424282Z	76.59	18.694	38.05	1.17	3.87	cassandra-001	38.05
482.376	1.17	192	2018-08-17T14:20:10.750029785Z	76.59	45.954	38.05	18.72	3.85	cassandra-001	38.05
243.03	18.72	193	2018-08-17T14:20:17.755517571Z	76.59	23.894	38.05	1.16	6.79	cassandra-001	38.05
243.063	1.16	194	2018-08-17T14:20:24.764907228Z	76.59	22.441	38.05	1.87	4.08	cassandra-001	38.05
480.921	1.87	194	2018-08-17T14:20:31.776941391Z	76.6	42.85	38.05	1.12	4.19	cassandra-001	38.05
244.002	1.12	195	2018-08-17T14:20:38.785283746Z	76.59	21.834	38.05	1.13	4.2	cassandra-001	38.05
483.776	1.13	196	2018-08-17T14:20:45.793556022Z	76.6	47.944	38.05	21.15	4.19	cassandra-001	38.05
245.404	21.15	197	2018-08-17T14:20:52.801106837Z	76.6	24.196	38.05	1.2	7.52	cassandra-001	38.05
245.295	1.2	197	2018-08-17T14:20:59.808529401Z	76.6	25.951	38.05	1.18	4.6	cassandra-001	38.05
501.893	1.18	198	2018-08-17T14:21:06.817493535Z	76.6	47.85	38.05	1.36	4.61	cassandra-001	38.05
249.374	1.36	199	2018-08-17T14:21:13.827387785Z	76.6	21.212	38.05	1.08	4.52	cassandra-001	38.05
500.045	1.08	200	2018-08-17T14:21:20.83749394Z	76.6	44.588	38.06	21.35	4.52	cassandra-001	38.06
245.998	21.35	200	2018-08-17T14:21:27.845231158Z	76.6	19.389	38.06	1.18	7.89	cassandra-001	38.06
252.95	1.18	201	2018-08-17T14:21:34.852277337Z	76.61	23.244	38.06	1.0	4.56	cassandra-001	38.06
504.274	1.0	202	2018-08-17T14:21:41.858182625Z	76.61	46.408	38.06	0.96	4.52	cassandra-001	38.06
253.978	0.96	203	2018-08-17T14:21:48.864134015Z	76.6	21.712	38.06	1.17	4.49	cassandra-001	38.06
510.521	1.17	203	2018-08-17T14:21:55.872290108Z	76.61	51.409	38.06	18.94	4.46	cassandra-001	38.06
256.834	18.94	204	2018-08-17T14:22:02.878802637Z	76.61	27.414	38.06	1.18	7.43	cassandra-001	38.06
256.464	1.18	205	2018-08-17T14:22:09.885513632Z	76.61	29.816	38.06	1.18	4.07	cassandra-001	38.06
520.339	1.18	206	2018-08-17T14:22:16.895938781Z	76.61	51.804	38.06	1.14	4.07	cassandra-001	38.06
